,ExG1,ExG2,ExG4,ExG5,ExG7,ExG8,ExG10,ExG11,Bip27
31,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
32,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
33,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
34,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
35,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
36,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
37,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
38,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
39,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
40,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
41,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
42,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
43,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
44,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
45,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
46,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
47,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
48,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
49,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
50,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
51,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
52,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
53,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
54,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
55,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
56,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
57,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0,-153545088.0
